R-Wavelength,R-Intensity,G-Wavelength,G-Intensity,B-Wavelength,B-Intensity
,,,,,
611.242603550296,0.148853674314129,517.666948436179,0.209987075642547,422.094660044479,0.252180259520571
614.792899408284,0.183338029491876,522.485207100592,0.25075105465138,425.567136725935,0.313307261009403
619.864750633981,0.238190484127646,524.767540152156,0.30555985485563,428.267951922623,0.374660286454259
624.175824175824,0.296160923463199,528.825021132714,0.366656216060333,430.582936376928,0.439777191089622
628.486897717667,0.357261253252586,531.107354184277,0.440244358987588,433.283751573616,0.510455801262045
632.544378698225,0.423052450138041,533.136094674556,0.506003807195573,434.904240691629,0.565720369287762
634.573119188504,0.479422226984524,535.92561284869,0.601509120469034,437.06489284898,0.63051739199308
638.377007607777,0.534254838696876,536.939983093829,0.642213570707612,438.492466595801,0.685540840963306
639.391377852916,0.58747885075079,539.983093829248,0.718943509842752,440.614535678913,0.752638893542088
643.448858833474,0.636055650140157,542.519019442096,0.794100566581607,443.315350875602,0.818952336395224
645.984784446323,0.672089076206086,544.29416737109,0.852031320070323,449.102812011363,0.885819144248227
650.042265426881,0.69562675196478,548.351648351648,0.895913283778939,454.890273147124,0.847705481860528
654.099746407439,0.675345961369797,553.677092138631,0.87252244565354,457.591088343812,0.787825905847007
657.396449704142,0.628449196163172,557.227387996619,0.80372041585476,459.713157426924,0.726349939203156
661.200338123415,0.565910915856745,559.509721048183,0.733333597905646,461.140731173745,0.673275972012133
663.482671174979,0.528387947672888,561.792054099746,0.672336451318033,463.301383331096,0.611403775779598
665.765004226543,0.465825855858359,564.327979712595,0.601953601953602,464.921872449109,0.555594677199097
668.300929839391,0.429871801486103,565.08875739645,0.547192424765556,466.465195418645,0.503832071615796
671.090448013525,0.372012482521692,568.385460693153,0.461172028886005,468.085684536658,0.449570623266679
673.879966187659,0.314153163557281,569.907016060862,0.40642275745201,470.246336694009,0.391031827532509
677.683854606932,0.270394225973858,572.442941673711,0.351689360356749,473.410148781558,0.325365729633861
681.23415046492,0.220371538898083,575.993237531699,0.289147111465638,476.882625463015,0.267799863377356
686.813186813187,0.176640381407445,578.782755705833,0.239112518635812,481.12676362924,0.213976307091452
689.60270498732,0.143820186073707,583.34742180896,0.185975815444938,486.528394022617,0.161281998424364
694.674556213018,0.098516146186786,589.940828402367,0.142260532293035,493.087516643146,0.117203860717656
