S-WaveL,S-Value,M-WaveL,M-Value,L-WaveL,L-Value
390.906354958377,0.020419014254596,391.190211542377,0.005687575252461,422.964801859779,0.027154749441055
394.086313695089,0.030023184839982,394.527880353078,0.007143328830755,426.142264483049,0.029312181591475
396.834182175714,0.04291346333161,397.544310736987,0.007538051294248,429.319763021621,0.031576761057507
398.86029825744,0.056501371610239,402.165999457023,0.010452099125855,432.497315433144,0.034002061496955
400.646138728615,0.071242248355443,405.342887435472,0.010895174226499,435.674903759969,0.036534509252014
402.046293757716,0.084115220161245,408.648807119804,0.013362728352855,438.852599832698,0.039388398953906
403.061454714295,0.097182872853159,411.987002688258,0.016389975893443,442.030331820728,0.042349435971409
403.932053590111,0.109758775234665,415.164860379843,0.019726028515585,445.208171554663,0.045631914935745
404.802981689522,0.123316861342605,418.342897647935,0.023597817715782,448.386136992151,0.04928940950472
405.674173167809,0.137660694431693,421.521814840909,0.030094716148449,451.564282006147,0.05348264065175
406.545759714411,0.153183147992503,424.700480626773,0.035841583371839,454.742570681348,0.058104461061224
407.417609639889,0.169491348534459,427.975922187345,0.043112762493157,457.921200551911,0.063744180969003
408.289920478401,0.187174606293424,431.376935812635,0.051660160587344,461.10026140609,0.070669668664114
409.35505757677,0.205742707335768,434.527373967426,0.059351619899635,464.280112396898,0.079952397302668
410.082542955642,0.222148467803177,437.705734473229,0.064187734940332,467.316379400316,0.091661354192621
410.664577350043,0.235410581898805,440.884202724936,0.069345291927861,470.064217801876,0.104461896807424
411.246710511523,0.248967351112364,444.06338928267,0.07664579522761,472.956512932648,0.117439890940176
411.82904120716,0.263113430561783,447.126828007303,0.083260028949697,476.137297721291,0.129508449784617
412.411338980438,0.277161291638558,450.334881488474,0.090523162378421,479.317902933427,0.141041272051002
412.993505064277,0.29081627922476,453.601308108885,0.09961877828297,482.210022478282,0.153495434862989
413.575671148116,0.304471266810962,456.781374591501,0.10954439081519,484.669078562148,0.166332310959591
414.158001843753,0.318617346260381,459.817291420731,0.120208661377935,486.839411039862,0.179380676635871
414.740530073548,0.333352735945661,462.276207898115,0.132629044803875,488.720858043156,0.192157624893
415.323354604578,0.348972090984732,464.446593286764,0.145835261436189,490.458039266923,0.205326788193512
415.906343747406,0.36508253788702,466.473299227432,0.161182915558012,492.050915204331,0.218770304490235
416.441002866421,0.38060345507105,468.210436554719,0.174221121028333,493.499275152279,0.23185957619825
416.975760752515,0.396419027373011,470.092305277762,0.188256199868371,495.236939237318,0.246469275630866
417.559112041298,0.413609876374377,472.263044581776,0.202518264006603,496.541177715415,0.260381286249018
418.190735739764,0.431218372941874,474.289078357603,0.215860626353622,497.700925444527,0.274014353030823
418.775239311132,0.451846864985761,476.315013366352,0.228908333582712,498.860895399566,0.288310393827971
419.360014491965,0.473285658603955,478.485663309676,0.242903804995197,500.02121103938,0.303637727537875
419.945011898725,0.495387426237493,480.655999314785,0.255962694068546,501.160806757054,0.318691358860102
420.530108072564,0.517783848988961,483.00729777233,0.270411494613984,502.073329906154,0.333259879214429
421.115105479324,0.539885616622499,485.069801291944,0.284858978265041,503.068356488274,0.347800713432111
421.700078194315,0.561913720476555,486.878494583837,0.295979916159728,503.939416277123,0.361751673030625
422.284927450457,0.583573505433197,488.615572337331,0.308840393146217,504.810508988332,0.375800851001782
422.869381638285,0.604054669918118,490.480887384447,0.321355352582165,505.681865078417,0.390635775954087
423.453737059034,0.624241179285109,491.676815610901,0.333521157330707,506.55335285794,0.405863574396966
423.990363289032,0.645630644234585,492.671187273226,0.346108147492588,507.424972326902,0.421484246330419
424.573813344894,0.663116148353881,493.830638701102,0.358857248920602,508.296723485301,0.437497791754445
425.205621643733,0.681275369367986,494.825350169209,0.372457993000124,509.16854048842,0.453707773923758
425.837044280646,0.698284032302554,496.005909532748,0.386638370493398,510.040456258617,0.470212411211002
426.419671277519,0.713314077105764,497.186927457723,0.402186789605634,510.912372028815,0.486717048498245
427.002034895516,0.727558374927827,498.03739195908,0.416235873512907,511.784320721372,0.503319904158132
427.584233901715,0.741311580886672,498.705840962815,0.428830497742875,512.656368181007,0.52021741493595
428.242314243471,0.755794753943207,499.634389775902,0.441976330064589,513.528382718283,0.537016707341124
428.701394912637,0.771489313057868,500.505844633066,0.457105910134824,514.400298488481,0.553521344628367
429.573073641846,0.787286778062078,501.377529946747,0.472923018813564,515.272181336318,0.569927763542967
430.155562364808,0.801904305700186,502.249346949866,0.489133000982877,516.143965417078,0.586039527339637
431.027221340601,0.817642839680811,503.121361487142,0.505932293388051,517.015584886039,0.60166019927309
431.899104188439,0.834049258595411,503.993705248013,0.523713769519659,517.887072665563,0.616887997715968
432.77075657976,0.849768148901507,504.923584124426,0.540827624096169,518.758395833288,0.63162470429563
433.642145592205,0.864701292226455,505.448066942106,0.554708250560574,519.629587311576,0.645968537384718
434.513304148133,0.8789469069429,506.02990380235,0.567381054420341,520.500680022784,0.660017715355875
435.384265169903,0.892603211423483,506.611938196751,0.58064316851597,521.495706604904,0.674558549573557
436.379141249808,0.906695047366223,507.193923207613,0.593757955052633,522.387394603606,0.688509603235955
437.29141042642,0.920505883131587,507.775957602014,0.607020069148261,523.278988538423,0.702180032976515
438.430752171606,0.934801829864851,508.357942612876,0.620134855684924,524.418630112241,0.717370468460639
439.626722726808,0.948803380155866,508.939878240198,0.633102314662622,525.579093902673,0.733139784847438
440.606027941606,0.962597684193544,509.521665716903,0.645627790963424,526.7392367001,0.747951472100964
442.054624930543,0.976394128184592,510.103453193607,0.658153267264227,527.899206655138,0.762247512898112
